,Ticker,Company name,Expected Return,Reliability (RMSE)
0,A,Agilent Technologies Inc,-0.3446919271302548,19.434141518938073
1,AAL,American Airlines Group,-0.06471162547361978,8.04069027813968
2,AAP,Advance Auto Parts,-0.12464054739531413,20.86421021510601
3,AAPL,Apple Inc.,-0.3758843138584109,53.85897289441539
4,ABBV,AbbVie Inc.,-0.2077959465117377,27.48102339080982
5,ABC,AmerisourceBergen Corp,-0.13001727605773097,11.587869502669248
6,ABMD,ABIOMED Inc,-0.413333860616555,101.82949341639853
7,ABT,Abbott Laboratories,-0.3635054658513308,17.182364379696345
8,ACN,Accenture plc,-0.37727385755443554,46.61893042960893
9,ADBE,Adobe Systems Inc,-0.4313793565170161,85.78784292808476

